encoder1,encoder2,encoder3,encoder4,encoder5,encoder6
15620,16126,15346,17416,26763,26844
16086,16627,15856,17920,27259,27345
16502,17064,16268,18303,27662,27743
16647,17213,16419,18436,27814,27880
16648,17211,16420,18434,27813,27880
16646,17198,16415,18427,27804,27880
16646,17198,16415,18427,27805,27880
16646,17198,16415,18427,27804,27880
16645,17198,16414,18427,27804,27880
16645,17198,16415,18427,27804,27880
16645,17198,16415,18427,27804,27880
16645,17198,16414,18427,27804,27880
16645,17198,16414,18427,27804,27880
16646,17198,16415,18427,27804,27880
16646,17198,16415,18427,27804,27880
16645,17198,16414,18427,27804,27880
16646,17197,16414,18427,27804,27880
16645,17198,16414,18427,27804,27880
16645,17198,16414,18427,27804,27880
16645,17198,16414,18427,27804,27880
16646,17197,16414,18427,27804,27880
16645,17198,16414,18427,27804,27880
16646,17198,16414,18427,27804,27880
16645,17198,16414,18427,27804,27880
16645,17197,16414,18427,27804,27880
16646,17197,16414,18427,27804,27880
16646,17198,16414,18427,27804,27880
16645,17198,16414,18427,27804,27880
16645,17197,16414,18427,27804,27880
16645,17198,16414,18427,27804,27880
16648,17200,16418,18431,27809,27888
16749,17290,16507,18584,27914,28002
17071,17609,16828,18937,28246,28329
17611,18157,17390,19502,28787,28874
18093,18657,17889,19969,29260,29350
18341,18917,18153,20201,29514,29586
18388,18962,18201,20251,29555,29632
18387,18951,18198,20247,29548,29630
18387,18951,18200,20249,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20249,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20249,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20249,29548,29630
18387,18951,18199,20249,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20249,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20249,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18388,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20249,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20249,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20249,29548,29630
18387,18951,18199,20249,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20249,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20249,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18387,18951,18199,20248,29548,29630
18391,18953,18201,20251,29550,29636
18467,19013,18258,20365,29620,29714
18756,19283,18535,20653,29902,29988
19277,19792,19044,21198,30427,30512
19985,20506,19784,21922,31146,31226
20759,21275,20543,22699,31904,32001
21618,22121,21410,23559,32751,32861
22457,22918,22213,24376,33559,33667
23382,23822,23133,25313,34479,34598
24057,24532,23834,26036,35173,35309
24057,24532,23834,26036,35173,35309
25185,25695,24988,27217,36318,36481
25832,26286,25610,27829,36926,37091
25832,26286,25610,27829,36926,37091
26595,27049,26384,28601,37689,37876
27436,27892,27223,29467,38522,38731
28248,28660,28028,30255,39322,39523
29075,29464,28835,31076,40140,40343
29920,30311,29675,31935,40973,41195
30728,31125,30480,32754,41784,42030
31572,31963,31325,33593,42622,42873
32367,32766,32106,34402,43414,43691
33271,33559,32970,35198,44256,44476
34309,34528,33970,36164,45264,45451
35425,35545,35040,37131,46325,46457
36437,36531,36064,38082,47346,47441
37303,37501,36973,39063,48254,48410
38176,38361,37836,39976,49121,49283
38967,39167,38654,40765,49929,50076
39430,39628,39125,41215,50400,50542
39680,39886,39375,41470,50648,50805
39711,39908,39400,41499,50667,50834
39788,39951,39443,41597,50710,50885
40111,40260,39739,41913,51019,51198
40532,40686,40175,42360,51445,51650
41016,41193,40683,42875,51940,52152
41651,41779,41273,43470,52527,52741
42365,42489,41997,44185,53239,53463
43004,43141,42665,44850,53897,54137
43716,43844,43372,45575,54596,54851
44541,44656,44202,46386,55429,55666
45582,45594,45236,47346,56442,56629
46505,46452,46162,48225,57360,57503
47530,47429,47198,49213,58395,58494
48622,48470,48298,50249,59496,59546
49606,49479,49277,51251,60489,60563
50591,50503,50253,52285,61472,61595
51310,51238,50974,53023,62201,62329
52155,52106,51819,53902,63051,63194
52753,52703,52419,54516,63649,63794
53577,53528,53247,55348,64458,64627
54396,54356,54061,56194,65278,65465
55164,55130,54833,56974,495,706
55942,55897,55613,57766,1274,1492
56691,56630,56360,58506,2015,2232
57505,57449,57176,59338,2820,3065
58053,58037,57748,59897,3387,3636
58349,58345,58055,60200,3691,3938
58397,58389,58103,60244,3727,3984
58392,58362,58096,60220,3705,3973
58390,58359,58096,60216,3705,3971
58390,58359,58096,60216,3704,3971
58390,58359,58096,60216,3704,3971
58390,58359,58096,60216,3704,3971
58390,58359,58096,60216,3704,3971
58390,58359,58096,60216,3704,3970
58390,58359,58096,60216,3704,3970
58390,58359,58096,60216,3704,3970
58390,58359,58096,60216,3704,3970
58390,58359,58096,60216,3704,3970
58390,58359,58096,60216,3704,3970
58390,58359,58096,60216,3704,3970
58390,58359,58096,60216,3704,3970
58390,58359,58096,60216,3704,3970
58390,58358,58096,60216,3704,3970
58389,58358,58096,60216,3704,3970
58390,58359,58096,60216,3704,3970
58390,58358,58096,60216,3704,3970
58390,58358,58096,60216,3704,3970
58390,58359,58096,60216,3704,3970
58389,58358,58096,60216,3704,3970
58390,58358,58096,60216,3704,3970
58390,58358,58096,60216,3704,3969
58390,58358,58096,60216,3704,3970
58390,58358,58096,60216,3704,3970
58390,58358,58096,60216,3704,3970
58390,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3970
58390,58358,58096,60216,3704,3969
58390,58358,58096,60216,3704,3970
58390,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58390,58358,58096,60216,3704,3970
58389,58358,58096,60216,3704,3969
58390,58358,58096,60216,3704,3970
58389,58358,58096,60216,3704,3969
58390,58358,58096,60216,3704,3970
58390,58358,58096,60216,3704,3970
58390,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58390,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58390,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58390,58358,58096,60216,3704,3969
